Bs,Ts,n,gflops
16,1,127,454.578889
16,1,128,470.379306
16,1,129,346.302548
16,1,255,718.093211
16,1,256,731.103836
16,1,257,620.720168
16,1,511,834.749581
16,1,512,845.968823
16,1,513,760.839684
16,1,767,850.791903
16,1,768,863.067181
16,1,769,810.102979
16,1,1023,817.591764
16,1,1024,838.729433
16,1,1025,785.969001
16,1,2047,645.178896
16,1,2048,660.863609
16,1,2049,633.729297
16,1,4095,629.896632
16,1,4096,638.907721
16,1,4097,624.456675
16,2,127,493.766725
16,2,128,504.074099
16,2,129,401.063085
16,2,255,865.554791
16,2,256,832.273734
16,2,257,754.600989
16,2,511,1010.851362
16,2,512,976.834901
16,2,513,935.26292
16,2,767,853.92052
16,2,768,862.734064
16,2,769,840.740276
16,2,1023,839.72293
16,2,1024,862.965198
16,2,1025,803.745157
16,2,2047,629.052484
16,2,2048,643.660448
16,2,2049,624.89456
16,2,4095,617.405159
16,2,4096,625.932858
16,2,4097,621.718885
16,4,127,230.33622
16,4,128,237.091456
16,4,129,167.669763
16,4,255,306.173575
16,4,256,308.702541
16,4,257,264.180346
16,4,511,339.825039
16,4,512,340.171583
16,4,513,310.361707
16,4,767,332.194283
16,4,768,331.248066
16,4,769,319.08117
16,4,1023,302.633704
16,4,1024,307.883701
16,4,1025,292.343323
16,4,2047,243.330643
16,4,2048,273.506431
16,4,2049,258.026772
16,4,4095,243.306579
16,4,4096,273.433301
16,4,4097,261.280487
16,8,127,71.38796
16,8,128,73.453804
16,8,129,46.567708
16,8,255,89.674847
16,8,256,91.080435
16,8,257,75.898516
16,8,511,99.063255
16,8,512,101.304652
16,8,513,92.882733
16,8,767,100.657599
16,8,768,101.89399
16,8,769,95.164294
16,8,1023,96.148907
16,8,1024,97.058768
16,8,1025,91.330448
16,8,2047,90.705123
16,8,2048,92.47715
16,8,2049,87.481593
16,8,4095,91.72295
16,8,4096,93.182868
16,8,4097,88.964012
32,1,127,397.756528
32,1,128,403.490506
32,1,129,313.177957
32,1,255,850.211827
32,1,256,869.286525
32,1,257,569.572827
32,1,511,1061.465826
32,1,512,1061.869194
32,1,513,883.255241
32,1,767,1125.94464
32,1,768,1135.861836
32,1,769,1012.601844
32,1,1023,1146.875342
32,1,1024,1155.243081
32,1,1025,1045.932373
32,1,2047,991.029242
32,1,2048,1020.249847
32,1,2049,951.55912
32,1,4095,953.836331
32,1,4096,980.452465
32,1,4097,935.1013
32,2,127,584.458572
32,2,128,608.726161
32,2,129,457.049049
32,2,255,1320.936894
32,2,256,1342.914965
32,2,257,905.233354
32,2,511,1673.117659
32,2,512,1702.298015
32,2,513,1409.295508
32,2,767,1783.063924
32,2,768,1808.620745
32,2,769,1625.868358
32,2,1023,1823.705297
32,2,1024,1841.887705
32,2,1025,1670.509332
32,2,2047,1518.264912
32,2,2048,1550.863033
32,2,2049,1465.108745
32,2,4095,1394.405427
32,2,4096,1417.798262
32,2,4097,1354.705863
32,4,127,488.155739
32,4,128,504.074099
32,4,129,416.84566
32,4,255,1160.088866
32,4,256,1176.734852
32,4,257,804.481393
32,4,511,1464.689497
32,4,512,1470.035131
32,4,513,1259.463823
32,4,767,1425.645234
32,4,768,1405.656859
32,4,769,1321.179929
32,4,1023,1230.1505
32,4,1024,1226.570697
32,4,1025,1126.919652
32,4,2047,1211.363632
32,4,2048,1215.138542
32,4,2049,1160.127819
32,4,4095,1202.060651
32,4,4096,1202.47527
32,4,4097,1163.627882
32,8,127,126.439161
32,8,128,130.312489
32,8,129,109.803247
32,8,255,275.707939
32,8,256,279.185654
32,8,257,175.447519
32,8,511,329.258924
32,8,512,331.030197
32,8,513,275.26855
32,8,767,341.275638
32,8,768,340.539695
32,8,769,312.871115
32,8,1023,326.148923
32,8,1024,327.086113
32,8,1025,299.718759
32,8,2047,348.464801
32,8,2048,346.571535
32,8,2049,334.506551
32,8,4095,349.351571
32,8,4096,347.36782
32,8,4097,342.060896
64,1,127,None
64,1,128,None
64,1,129,None
64,1,255,None
64,1,256,None
64,1,257,None
64,1,511,None
64,1,512,None
64,1,513,None
64,1,767,None
64,1,768,None
64,1,769,None
64,1,1023,None
64,1,1024,None
64,1,1025,None
64,1,2047,None
64,1,2048,None
64,1,2049,None
64,1,4095,None
64,1,4096,None
64,1,4097,None
64,2,127,227.59049
64,2,128,242.316612
64,2,129,170.366438
64,2,255,1023.507395
64,2,256,1045.597982
64,2,257,726.866803
64,2,511,1861.183428
64,2,512,1871.820294
64,2,513,1206.980571
64,2,767,2089.938765
64,2,768,2134.182637
64,2,769,1606.356295
